condition,t,eta_eff,R,c_dilute,D_surf,k_ads,k_off_at_L0,n_mt,n_tip_bound,n_escaped,frac_tip_bound,mean_L,max_L,mean_surf,min_surf,escape_index,aster_S,label,color,seed
η=0.1,0.0,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,1,1,0,1.0,0.17995700505875437,0.17995700505875437,24.109051812114537,16.114051812114536,0.0,0.011247312810553653,η=0.1,#1a6faf,42
η=0.1,33.333333333333336,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,28,0,1.0,0.520474620034436,1.0792154622968333,25.9018696809124,22.904590711727778,0.0,0.011245725750864567,η=0.1,#1a6faf,42
η=0.1,66.66666666666667,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,28,0,1.0,0.983084703009977,1.9788370286016186,27.67133793864827,24.678190391740632,0.0,0.011245066497520158,η=0.1,#1a6faf,42
η=0.1,100.0,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,28,0,1.0,1.4392512917452556,2.878389179485472,29.33780760955494,26.339710292057305,0.0,0.011242509951438549,η=0.1,#1a6faf,42
η=0.1,133.33333333333334,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,28,0,1.0,1.8440008859549042,3.7777625076650585,30.911049636174347,27.91487443758383,0.0,0.011241924639353154,η=0.1,#1a6faf,42
η=0.1,166.66666666666669,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,27,1,0.9642857142857143,2.3772545360614394,4.317423629008629,32.326194762795716,29.328867396815795,0.0357142857142857,0.011244457318350193,η=0.1,#1a6faf,42
η=0.1,200.0,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,26,2,0.9285714285714286,2.8141477170898948,4.497360147449739,33.72947061766373,30.731227205275523,0.0714285714285714,0.015518463816739126,η=0.1,#1a6faf,42
η=0.1,233.33333333333334,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,26,2,0.9285714285714286,3.2638956367657386,5.21692011951898,34.96708509060828,31.96946307249157,0.0714285714285714,0.01359378649816494,η=0.1,#1a6faf,42
η=0.1,266.6666666666667,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,26,2,0.9285714285714286,3.732891892353033,5.217707189297066,36.14490743238935,33.146258647069544,0.0714285714285714,0.01799289315082677,η=0.1,#1a6faf,42
η=0.1,300.0,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,26,2,0.9285714285714286,4.279052890672593,6.116198236584672,37.17428997637265,34.176000476866356,0.0714285714285714,0.020934328005662632,η=0.1,#1a6faf,42
η=0.1,333.33333333333337,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,26,2,0.9285714285714286,4.715901146267334,6.65594364117139,38.19680701695225,35.1924988197242,0.0714285714285714,0.024057813960354762,η=0.1,#1a6faf,42
η=0.1,366.6666666666667,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,25,3,0.8928571428571429,5.12706101299676,6.835602522517266,39.15594148471514,36.15479019798201,0.1071428571428571,0.02405741920725516,η=0.1,#1a6faf,42
η=0.1,400.0,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,23,5,0.8214285714285714,5.563982089889815,7.736068407771359,40.03696953260114,40.032103701430266,0.1785714285714286,0.03651259712496382,η=0.1,#1a6faf,42
η=0.1,433.33333333333337,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,20,8,0.7142857142857143,5.981647076340066,8.276045651497533,40.866169230273684,37.86797992270747,0.2857142857142857,0.05407765301172666,η=0.1,#1a6faf,42
η=0.1,466.6666666666667,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,19,9,0.6785714285714286,6.4635480467941795,8.276045651497533,41.6202661240838,41.61198139720255,0.3214285714285714,0.06018845471215701,η=0.1,#1a6faf,42
η=0.1,500.00000000000006,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,19,9,0.6785714285714286,6.816956729578003,9.175005373613962,42.39541702798706,39.395067244475165,0.3214285714285714,0.07023097629825505,η=0.1,#1a6faf,42
η=0.1,533.3333333333334,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,17,11,0.6071428571428571,7.253849012196105,9.53461123530646,43.02966700348423,43.012644608236464,0.3928571428571429,0.07009417437309359,η=0.1,#1a6faf,42
η=0.1,566.6666666666667,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,13,15,0.4642857142857143,7.652216779013709,9.714448733092851,43.669714303886195,40.67255851227189,0.5357142857142857,0.07967574918037731,η=0.1,#1a6faf,42
η=0.1,600.0,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,12,16,0.42857142857142855,7.960675955584892,9.894155100778637,44.2865503794731,41.28475223233183,0.5714285714285714,0.07902168628804353,η=0.1,#1a6faf,42
η=0.1,633.3333333333334,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,11,17,0.39285714285714285,8.236977947413674,10.973447459122493,44.86423032720989,44.86232317288247,0.6071428571428572,0.08511385341967567,η=0.1,#1a6faf,42
η=0.1,666.6666666666667,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,9,19,0.32142857142857145,8.5454037342322,11.51313912665594,45.409027001870896,42.410491691329284,0.6785714285714286,0.09217523197599438,η=0.1,#1a6faf,42
η=0.1,700.0,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,9,19,0.32142857142857145,8.821775662625964,12.232759922135383,45.935503456829196,42.937321332228464,0.6785714285714286,0.11058219962320678,η=0.1,#1a6faf,42
η=0.1,733.3333333333334,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,9,19,0.32142857142857145,9.130222622348235,12.952065552239308,46.423765203137854,43.42562345155438,0.6785714285714286,0.13012475314611666,η=0.1,#1a6faf,42
η=0.1,766.6666666666667,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,7,21,0.25,9.342318584701067,13.13194975939924,46.87135160960107,46.865047946459846,0.75,0.13672449227352593,η=0.1,#1a6faf,42
η=0.1,800.0,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,7,21,0.25,9.612230593091411,13.13194975939924,47.29176498202827,47.28640122633386,0.75,0.15735097307615248,η=0.1,#1a6faf,42
η=0.1,833.3333333333334,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,7,21,0.25,9.901436605083715,13.851375022716185,47.680531393924205,44.68163455744769,0.75,0.17692970561243201,η=0.1,#1a6faf,42
η=0.1,866.6666666666667,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,6,22,0.21428571428571427,10.216370587439304,14.391133622271862,48.04485035716762,45.04670452954882,0.7857142857142857,0.18218541653012213,η=0.1,#1a6faf,42
η=0.1,900.0000000000001,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,6,22,0.21428571428571427,10.499173416261995,15.290554572644565,48.39161868505915,48.39141786321864,0.7857142857142857,0.1878489814494697,η=0.1,#1a6faf,42
η=0.1,933.3333333333334,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,6,22,0.21428571428571427,10.781928725167296,16.18992213803312,48.68733655890039,45.689077445054636,0.7857142857142857,0.21180685821779527,η=0.1,#1a6faf,42
η=0.1,966.6666666666667,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,6,22,0.21428571428571427,11.019724721991455,16.369841733596292,48.99507744584158,45.99698428565539,0.7857142857142857,0.21463766892041442,η=0.1,#1a6faf,42
η=0.1,1000.0000000000001,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,5,23,0.17857142857142858,11.27038560590762,16.909456948092966,49.264613473570044,46.25425886789161,0.8214285714285714,0.22722815787400705,η=0.1,#1a6faf,42
η=0.1,1033.3333333333335,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,5,23,0.17857142857142858,11.437480478122165,17.629061648709104,49.54069284066863,46.54259847698062,0.8214285714285714,0.2436138646318838,η=0.1,#1a6faf,42
η=0.1,1066.6666666666667,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,5,23,0.17857142857142858,11.688145775950897,17.808783110612694,49.78838041797222,49.788314236791386,0.8214285714285714,0.26585522433021075,η=0.1,#1a6faf,42
η=0.1,1100.0,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,5,23,0.17857142857142858,11.925952155277821,18.528395823229758,50.001772803532155,50.00151758152081,0.8214285714285714,0.2835499789045453,η=0.1,#1a6faf,42
η=0.1,1133.3333333333335,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,4,24,0.14285714285714285,12.170151490721716,19.248120558468443,50.19417123568997,47.195866747656304,0.8571428571428572,0.29681716145266224,η=0.1,#1a6faf,42
η=0.1,1166.6666666666667,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,3,25,0.10714285714285714,12.420829858230519,19.607842058690387,50.41036869422543,50.41019781333686,0.8928571428571429,0.32121922466487896,η=0.1,#1a6faf,42
η=0.1,1200.0,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,3,25,0.10714285714285714,12.626508290978942,19.96732542600926,50.59596106620116,50.59373896734069,0.8928571428571429,0.32949386074483084,η=0.1,#1a6faf,42
η=0.1,1233.3333333333335,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,3,25,0.10714285714285714,12.825755063382028,20.687167874440647,50.77456634570207,50.77451784734855,0.8928571428571429,0.3372302142189416,η=0.1,#1a6faf,42
η=0.1,1266.6666666666667,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,3,25,0.10714285714285714,13.037860705837462,21.58673168147298,50.93294348501056,50.93289996149441,0.8928571428571429,0.3450025508622413,η=0.1,#1a6faf,42
η=0.1,1300.0,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,3,25,0.10714285714285714,13.185694626635145,21.946502468641707,51.10033879984319,51.100338730505726,0.8928571428571429,0.3483190047560446,η=0.1,#1a6faf,42
η=0.1,1333.3333333333335,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,3,25,0.10714285714285714,13.34638265526633,22.126418120860702,51.24465121466042,48.246828414099056,0.8928571428571429,0.3638938135695739,η=0.1,#1a6faf,42
η=0.1,1366.6666666666667,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,2,26,0.07142857142857142,13.500637253762475,22.126418120860702,51.38094153153903,51.38071369967456,0.9285714285714286,0.38844058637135415,η=0.1,#1a6faf,42
η=0.1,1400.0,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,1,27,0.03571428571428571,13.68705466609823,22.306418120860517,51.50442275918771,51.50435201490493,0.9642857142857143,0.39630586142641855,η=0.1,#1a6faf,42
η=0.1,1433.3333333333335,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,1,27,0.03571428571428571,13.860612643632162,22.486418120860343,51.62705015089376,51.627047121643066,0.9642857142857143,0.4002265352177627,η=0.1,#1a6faf,42
η=0.1,1466.6666666666667,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,1,27,0.03571428571428571,14.059889868406403,22.846418120859976,51.74489545739638,48.74677045739122,0.9642857142857143,0.41971051512497254,η=0.1,#1a6faf,42
η=0.1,1500.0,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,0,28,0.0,14.272031463709743,22.846418120859976,51.85589173511548,51.855891520266674,1.0,0.45031798221781216,η=0.1,#1a6faf,42
η=0.1,1533.3333333333335,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,0,28,0.0,14.452031463709565,23.20641812085961,51.95579885425172,51.955798854251114,1.0,0.46319388872430356,η=0.1,#1a6faf,42
η=0.1,1566.6666666666667,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,0,28,0.0,14.574174320852295,23.20641812085961,52.05499250014889,52.05499250014839,1.0,0.46129685381603763,η=0.1,#1a6faf,42
η=0.1,1600.0,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,0,28,0.0,14.773460035137814,23.746418120859055,52.1450622809453,52.14506228094494,1.0,0.4736248252949221,η=0.1,#1a6faf,42
η=0.1,1633.3333333333335,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,0,28,0.0,14.927745749423375,23.92641812085887,52.23032711594401,52.230327115943766,1.0,0.48179178111401244,η=0.1,#1a6faf,42
η=0.1,1666.6666666666667,0.1,8.0,10.0,10.0,0.0021875,0.00015583650955178967,28,0,28,0.0,15.056317177994677,23.92641812085887,52.308084715616694,52.30808471561657,1.0,0.49674518439809,η=0.1,#1a6faf,42
