N,R,polymer_tot,sem_polymer
1,8.0,428.8977195396174,9.575971389799722
2,6.3496042078727974,834.33870082951,3.253773973398254
4,5.039684199579493,1630.6337037486755,7.9558945789891125
8,4.0,3033.853770871056,23.5132347315657
16,3.1748021039363987,6118.1517335449935,86.3485325866586
32,2.5198420997897464,11459.672540117463,215.15601635282673
